org,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,total,percent_change_16to24,annual_avg_14to23,annual_avg_13to17,latest_update
tribune,0.0,0.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,,0.7,0.2,2023-06-02 20:24:37+00:00
twreporter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,1.0,2.0,2.0,0.0,4.0,1.0,0.0,2.0,0.0,35.0,-1.0,3.3,4.6,2025-12-31 07:09:23+00:00
usafacts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.1,0.0,2022-04-29 18:12:44+00:00
usatoday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,10.0,0.0,0.7,0.2,2025-11-18 00:14:51+00:00
vgno,0.0,0.0,0.0,4.0,1.0,5.0,6.0,18.0,9.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,52.0,-0.8888888888888888,4.1,7.8,2025-12-03 09:51:56+00:00
vicemedia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,-1.0,2.1,1.6,2025-08-25 16:44:16+00:00
voanews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,0.4,0.4,2024-04-23 08:55:56+00:00
voxmedia,0.0,0.0,0.0,0.0,2.0,2.0,15.0,14.0,11.0,5.0,5.0,8.0,5.0,1.0,8.0,9.0,0.0,2.0,0.0,87.0,-1.0,8.1,9.4,2026-01-03 17:37:51+00:00
vprnet,0.0,0.0,0.0,0.0,0.0,5.0,29.0,16.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,-1.0,5.9,12.8,2026-01-04 13:59:07+00:00
washingtoncitypaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,0.4,0.8,2016-06-29 12:48:31+00:00
washingtonpost,0.0,0.0,0.0,0.0,2.0,2.0,2.0,10.0,18.0,5.0,8.0,5.0,8.0,5.0,9.0,2.0,2.0,1.0,0.0,79.0,-0.8888888888888888,7.2,7.4,2026-01-03 18:05:21+00:00
washingtonpost-archive,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,2023-01-28 18:51:48+00:00
