organization,type,handle
NewsLynx,News Industry,newslynx
Newsweek,Newsroom,newsweek
Nieman Lab,News Industry,niemanlab
Northwestern U. Knight Lab,News Industry,nuknightlab
Northwestern U. Computational Journalism Lab,News Industry,comp-journalism
NPR Labs,Newsroom,nprlabs
NPR Tech,Newsroom,npr
NPR Viz,Newsroom,nprapps
NRK (Norway),Newsroom,nrkno
NZZ,Newsroom,nzzdev
OCCRP,Newsroom,occrp
OCCRP Aleph,News Industry,alephdata
Onion,Newsroom,theonion
OpenElections,News Industry,openelections
OpenNews,News Industry,opennews
OpenNews Labs,News Industry,opennewslabs
OpenStates,News Industry,openstates
Orlando Sentinel,Newsroom,orlandosentinel
Open Secrets,Newsroom,opensecrets
Overview Project,News Industry,overview
Palm Beach Post,Newsroom,palmbeachpost
PBS NewsHour,Newsroom,newshour
Philly.com,Newsroom,phillymedia
Pitch Interactive,News Industry,pitchinteractiveinc
Pitchfork,Newsroom,pitchfork
Poderopedia,News Industry,poderopedia
PolicyMic,News Industry,policymic
Politibot,News Industry,politibot
Politico,Newsroom,the-politico
Polygraph,Newsroom,polygraph-cool
Portland Oregonian,Newsroom,theoregonian
Portland Oregonian (Old Account),Newsroom,oregonian
POV,News Industry,povdocs
Proof News,Newsroom,proofnews
ProPublica,Newsroom,propublica
PRX,Newsroom,prx
Public Radio International,Newsroom,publicradiointernational
PublicSource (Pittsburgh),Newsroom,publicsource
Pudding,Newsroom,the-pudding
Quartz,Newsroom,quartz
Quartz Bot Studio,Newsroom,quartz-bot-studio
Radio France,Newsroom,radiofrance
Radio Free Europe/Radio Liberty,Newsroom,rferl
Rappler,Newsroom,therapplers
Reese News Lab,News Industry,reesenewslab
Register-Guard (Eugene Ore.),Newsroom,registerguard
Register-Guard (Eugene Ore.),Newsroom,rgnewsroom
Reporter 報導者,Newsroom,twreporter
Resolve Philly,Newsroom,resolve-philly
Rest of World,Newsroom,row-engineering
Retro Report,Newsroom,retro-report
Reuters,Newsroom,thomsonreuters
Reuters Graphics,Newsroom,reuters-graphics
Reynolds Journalism Institute,News Industry,rji-futures-lab
Süddeutsche Zeitung,Newsroom,sueddeutsche
Sahan Journal,Newsroom,sahanjournal
St. Louis Post-Dispatch,Newsroom,postdispatchinteractive
St. Louis Public Radio,Newsroom,stlpublicradio
Salt Lake Tribune,Newsroom,sltrib
Salud Con Lupa,Newsroom,saludconlupa
San Antonio Express-News,Newsroom,sa-express-news
San Diego Union-Tribune Data Desk,Newsroom,sdut-datadesk
San Francisco Chronicle,Newsroom,sfchronicle
Seattle Times,Newsroom,seattletimes
Slate,Newsroom,slategroup
SourceFabric,News Industry,sourcefabric
South China Morning Post,Newsroom,scmp
South Florida Sun Sentinel,Newsroom,sunsentinel
South Side Weekly,Newsroom,southsideweekly
Spirited Media,News Industry,spiritedmedia
Spokane Spokesman-Review,Newsroom,spokesmanreview
Spotlight PA,Newsroom,spotlightpa
SRF Data,Newsroom,srfdata
States Newsroom,Newsroom,statesnewsroom
States Newsroom Engineering,Newsroom,statesnewsroom-eng
Storyful,News Industry,storyful
SunlightLabs,News Industry,sunlightlabs
TagesWoche,Newsroom,tageswoche
Tampa Bay Times,Newsroom,tbtimes
Tarbell Project,News Industry,tarbell-project
Telegraph,Newsroom,telegraph
Telemundo,Newsroom,telemundo
Texas Tribune,Newsroom,texastribune
Texty.org.ua,Newsroom,texty
The City,Newsroom,thecityny
The Economist,Newsroom,theeconomist
The Economist Group,Newsroom,economistdigitalsolutions
The Free Lance-Star,Newsrooom,freelancestar
The Hilton Head Island Packet,Newsroom,islandpacket
The Markup,Newsroom,the-markup
The Marshall Project,Newsroom,themarshallproject
The Trace,Newsroom,teamtrace
Time Magazine,Newsroom,timemagazine
Time Magazine Labs,Newsroom,timemagazinelabs
Times & Sunday Times,Newsroom,times
Times & Sunday Times Digital,Newsroom,times-machine
Toronto Globe and Mail,Newsroom,globeandmail
TrendCT,Newsroom,trendct
Tribune Publishing,Newsroom,tribune
Trust Project,News Industry,thetrustproject
TV 2 (Norway),Newsroom,tv2norge
U. of Maryland Computational Journalism Lab,News Industry,cjlab-umd
USAFacts,News Industry,usafacts
USA Today,Newsroom,usatoday
USA Today Sports,Newsroom,usatoday-smb
Vermont Public Radio,Newsroom,vprnet
VG (Norway),Newsroom,vgno
Vice Media,Newsroom,vicemedia
Voice of America,Newsroom,voanews
Vox Media,Newsroom,voxmedia
Wall Street Journal,Newsroom,wsj
Washington City Paper,Newsroom,washingtoncitypaper
Washington Post,Newsroom,washingtonpost
Washington Post (Archived Repos),Newsroom,washingtonpost-archive
Washington Post Newsroom Engineering,Newsroom,wpnewsengineering
Washington Post Investigations,Newsroom,wpinvestigative
Washington Post SaaS (Arc Publishing),Newsroom,wapopartners
Washington Times,Newsroom,washingtontimes
WBEZ Chicago Public Media,Newsroom,wbez
WBUR,Newsroom,wbur
WBUR Learning Lab,Newsroom,learninglab
WGBH Boston,Newsroom,wgbh
WireService,News Industry,wireservice
WNPR (Connecticut Public Radio),Newsroom,wnpr
WNYC (New York Public Radio),Newsroom,wnyc
WNYC DataNews,Newsroom,datanews
WRAL Data Desk,Newsroom,wraldata
Yahoo! Paranoids,News Industry,theparanoids
YLE (Finnish National Broadcaster),Newsroom,yleisradio
Youth Radio,Newsroom,youthradio
Zeit Online (Germany),Newsroom,zeitonline
