org,year,count
hearst-dd,2016,1
hearst-dd,2018,1
hearst-hatchery,2018,2
hearstcorp,2014,1
hearstcorp,2015,3
hearstcorp,2017,2
hechinger,2014,1
hechinger,2023,2
hechinger,2024,1
hechinger,2025,2
hindustantimeslabs,2016,13
hindustantimeslabs,2017,33
hindustantimeslabs,2018,5
houston-chronicle,2018,12
houston-chronicle,2019,1
houston-chronicle,2022,2
houston-chronicle,2023,1
howard-center-investigations,2019,5
howard-center-investigations,2020,1
howard-center-investigations,2021,1
howard-center-investigations,2022,1
howard-center-investigations,2025,1
icfj-org,2016,1
icij,2013,1
icij,2014,1
icij,2015,1
icij,2016,2
icij,2017,1
icij,2018,8
icij,2019,7
icij,2020,21
icij,2021,3
icij,2022,3
icij,2023,9
icij,2024,6
icij,2025,3
imedd-lab,2020,1
imedd-lab,2022,1
imedd-lab,2024,3
imedd-lab,2025,1
infoamazonia,2012,1
infoamazonia,2014,4
infoamazonia,2015,9
infoamazonia,2016,1
infoamazonia,2018,2
infoamazonia,2019,2
infoamazonia,2020,8
infoamazonia,2021,1
infoamazonia,2023,1
infoamazonia,2024,1
initiumlab,2015,20
initiumlab,2016,18
initiumlab,2017,1
initiumlab,2018,1
initiumlab,2019,1
initiumlab,2021,1
inn,2013,3
inn,2014,10
inn,2015,5
inn,2016,45
inn,2017,27
inn,2018,1
inn,2019,7
inn,2020,4
insideclimatenews,2022,1
insideclimatenews,2023,3
insideclimatenews,2024,2
insideclimatenews,2025,9
insideenergy,2014,2
insideenergy,2015,3
insideenergy,2016,4
internews-ke,2014,4
invinst,2015,2
invinst,2016,9
invinst,2017,1
invinst,2019,4
invinst,2020,2
invinst,2025,1
ireapps,2011,1
ireapps,2014,1
ireapps,2015,1
ireapps,2017,2
ireapps,2018,6
ireapps,2019,6
ireapps,2020,3
ireapps,2021,3
ireapps,2022,5
ireapps,2023,4
ireapps,2024,5
ireapps,2025,4
irworkshop,2012,1
irworkshop,2013,2
irworkshop,2014,1
irworkshop,2019,3
islandpacket,2021,1
journalismai,2022,7
jplusplus,2012,3
jplusplus,2013,23
jplusplus,2014,15
jplusplus,2015,33
jplusplus,2016,14
jplusplus,2017,11
jplusplus,2018,8
jplusplus,2019,4
jplusplus,2020,2
jplusplus,2023,1
kffdata,2020,1
khnews,2020,2
khnews,2021,2
khnews,2022,1
kiln,2012,1
kiln,2013,2
kiln,2015,2
kiln,2017,16
kiln,2018,4
kiln,2019,4
kiln,2021,7
kiln,2022,5
kiln,2023,3
kiln,2024,4
kpbs,2013,1
kpbs,2014,1
kqed,2014,3
kqed,2015,2
kqed,2016,3
kqed,2019,1
kqed,2022,2
kqed,2023,2
kqed,2024,2
kqed,2025,1
labsletemps,2014,15
labsletemps,2015,3
labsletemps,2016,1
labsletemps,2017,1
labsletemps,2018,3
labsletemps,2019,3
labsletemps,2020,8
lanacioncom,2013,2
lanacioncom,2014,1
lanacioncom,2015,8
lanacioncom,2016,3
lanacioncom,2018,2
lanacioncom,2022,1
lanacioncom,2025,1
laopinion,2016,2
laopinion,2017,6
laopinion,2018,10
laopinion,2019,3
laopinion,2022,1
learninglab,2014,6
lemonde,2014,4
lemonde,2019,1
lemonde,2020,1
lemonde,2021,1
lemonde,2022,1
lemonde,2023,1
lemonde,2025,2
lenfest-institute,2024,1
lenfestlab,2018,1
lenfestlab,2021,1
lenfestlab,2022,1
liberation,2010,2
liberation,2011,3
liberation,2012,4
liberation,2013,8
liberation,2014,6
liberation,2016,1
liberation,2017,2
lighthouse-reports,2021,2
lighthouse-reports,2022,3
lighthouse-reports,2023,2
lighthouse-reports,2024,4
lighthouse-reports,2025,2
localatbrown,2020,1
localatbrown,2021,3
localatbrown,2022,2
localatbrown,2023,3
localatbrown,2024,1
localatbrown,2025,1
mailonline,2013,3
mailonline,2014,8
mailonline,2015,11
mailonline,2016,16
mailonline,2017,10
mailonline,2018,5
mailonline,2019,1
mailonline,2020,3
mailonline,2021,2
mailonline,2022,1
mailonline,2023,1
mashable,2012,2
mashable,2013,1
mashable,2014,1
mashable,2016,2
mashable,2018,1
mcclatchy,2014,2
mcclatchy,2016,1
mcclatchy,2017,18
mcclatchy,2018,9
mcclatchy,2019,4
mcclatchy,2020,1
mcclatchy,2022,5
mcclatchy,2023,4
mcclatchy,2025,1
